subject,predicate,object,birthPlace,,,object,2024-04-13,
Sayf_al-Din_Ghazi_I ,gender ,Male_gender ,Mosul ,,,,,
Eleanor_Holland_u002C__Countess_of_Salisbury ,age ,638,Up_Holland ,,,1386-01-01,,638
Eleanor_Holland_u002C__Countess_of_Salisbury ,gender ,Female__u0028_gender_u0029_ ,Up_Holland ,,,,,
Eleanor_Holland_u002C__Countess_of_Salisbury ,knowsLanguage ,English_language_generic_instance ,Up_Holland ,,,,,
Empress_Dowager_Bo ,age ,2273,Suzhou ,,,-0250-01-01,,2273
Empress_Dowager_Bo ,gender ,Female__u0028_gender_u0029_ ,Suzhou ,,,,,
Esen_Buqa_II ,gender ,Male_gender ,Moghulistan ,,,,,
Dorothy_Garai ,age ,614,Buda ,,,1410-01-01,,614
Dorothy_Garai ,gender ,Female__u0028_gender_u0029_ ,Buda ,,,,,
Dorothy_Garai ,knowsLanguage ,Hungarian_language_generic_instance ,Buda ,,,,,
Ratsadanay ,age ,150,Champasak__u0028_town_u0029_ ,,,1874-01-01,,150
Ratsadanay ,gender ,Male_gender ,Champasak__u0028_town_u0029_ ,,,,,
Ratsadanay ,nationality ,Laos ,Champasak__u0028_town_u0029_ ,,,,,
A_u002E__M_u002E__Azahari ,alumniOf ,École_spéciale_militaire_de_Saint-Cyr ,Labuan ,,,,,
A_u002E__M_u002E__Azahari ,age ,95,Labuan ,,,1928-09-03,,95
A_u002E__M_u002E__Azahari ,gender ,Male_gender ,Labuan ,,,,,
A_u002E__M_u002E__Azahari ,memberOf ,Brunei_People_u0027_s_Party ,Labuan ,,,,,
A_u002E__M_u002E__Azahari ,nationality ,Brunei ,Labuan ,,,,,
Nobuhiko_Higashikuni ,alumniOf ,Keio_University ,Tokyo__u0028_place_name_u0029_ ,,,,,
Nobuhiko_Higashikuni ,age ,79,Tokyo__u0028_place_name_u0029_ ,,,1945-03-10,,79
Nobuhiko_Higashikuni ,gender ,Male_gender ,Tokyo__u0028_place_name_u0029_ ,,,,,
Nobuhiko_Higashikuni ,nationality ,Japan ,Tokyo__u0028_place_name_u0029_ ,,,,,
Jean-Sélim_Kanaan ,knowsLanguage ,Egyptian_Arabic_generic_instance ,Rome ,,,,,
Jean-Sélim_Kanaan ,nationality ,Egypt ,Rome ,,,,,
Jean-Sélim_Kanaan ,nationality ,France ,Rome ,,,,,
Jean-Sélim_Kanaan ,nationality ,Italy ,Rome ,,,,,
Jean-Sélim_Kanaan ,worksFor ,United_Nations_generic_instance ,Rome ,,,,,
Molly_Brant ,age ,288,Ohio_River ,,,1736-01-01,,288
Molly_Brant ,gender ,Female__u0028_gender_u0029_ ,Ohio_River ,,,,,
Molly_Brant ,nationality ,Canada ,Ohio_River ,,,,,
Nicholas_the_Pilgrim ,age ,949,Steiri ,,,1075-01-01,,949
Nicholas_the_Pilgrim ,gender ,Male_gender ,Steiri ,,,,,
Ansanus ,age ,1740,Rome ,,,0284-01-01,,1740
Ansanus ,gender ,Male_gender ,Rome ,,,,,
Ansanus ,knowsLanguage ,Latin_generic_instance ,Rome ,,,,,
Karoline_of_Wartensleben ,age ,180,Mannheim ,,,1844-04-08,,180
Karoline_of_Wartensleben ,gender ,Female__u0028_gender_u0029_ ,Mannheim ,,,,,
William_of_Montevergine ,age ,939,Vercelli ,,,1085-01-01,,939
William_of_Montevergine ,gender ,Male_gender ,Vercelli ,,,,,
Antonio_Busca__u0028_lieutenant_u0029_ ,age ,257,Milan ,,,1767-02-17,,257
Antonio_Busca__u0028_lieutenant_u0029_ ,gender ,Male_gender ,Milan ,,,,,
Exuperius__u0028_Theban_Legion_u0029_ ,age ,1724,Thebes_u002C__Egypt ,,,0300-01-01,,1724
Exuperius__u0028_Theban_Legion_u0029_ ,gender ,Male_gender ,Thebes_u002C__Egypt ,,,,,
Girolama_Mazzarini ,age ,409,Rome ,,,1614-12-05,,409
Girolama_Mazzarini ,gender ,Female__u0028_gender_u0029_ ,Rome ,,,,,
Sigifred_of_Lucca ,age ,1126,Parma ,,,0898-01-01,,1126
Sigifred_of_Lucca ,gender ,Male_gender ,Parma ,,,,,
Ereleuva ,age ,1584,Ukraine ,,,0440-01-01,,1584
Ereleuva ,gender ,Female__u0028_gender_u0029_ ,Ukraine ,,,,,
Mangkunegara_IX ,age ,72,Surakarta ,,,1951-08-18,,72
Mangkunegara_IX ,gender ,Male_gender ,Surakarta ,,,,,
Mangkunegara_IX ,nationality ,Indonesia ,Surakarta ,,,,,
Nora_Stewart_Coleman ,age ,104,Honolulu ,,,1920-01-01,,104
Nora_Stewart_Coleman ,gender ,Female__u0028_gender_u0029_ ,Honolulu ,,,,,
Patrona_Halil ,age ,334,Argos_Orestiko ,,,1690-01-01,,334
Patrona_Halil ,gender ,Male_gender ,Argos_Orestiko ,,,,,
Hamidullah_Khan ,gender ,Male_gender ,Bhopal ,,,,,
Hamidullah_Khan ,nationality ,India ,Bhopal ,,,,,
Henry_Cromwell_u002C__2nd_Baron_Cromwell ,alumniOf ,St_John_u0027_s_College_u002C__Cambridge ,Lewes ,,,,,
Henry_Cromwell_u002C__2nd_Baron_Cromwell ,age ,486,Lewes ,,,1538-01-01,,486
Jessie_De_Priest ,age ,153,Pennsylvania ,,,1870-09-03,,153
Jessie_De_Priest ,gender ,Female__u0028_gender_u0029_ ,Pennsylvania ,,,,,
Redemptus_of_the_Cross ,age ,426,Paredes_u002C__Portugal ,,,1598-03-15,,426
Redemptus_of_the_Cross ,gender ,Male_gender ,Paredes_u002C__Portugal ,,,,,
Redemptus_of_the_Cross ,knowsLanguage ,Portuguese_language_generic_instance ,Paredes_u002C__Portugal ,,,,,
Saint_Gwinear ,age ,1674,Ireland ,,,0350-01-01,,1674
Saint_Gwinear ,gender ,Male_gender ,Ireland ,,,,,
Willa_of_Tuscany ,age ,1112,Arles ,,,0912-01-01,,1112
Willa_of_Tuscany ,gender ,Female__u0028_gender_u0029_ ,Arles ,,,,,
Willa_of_Tuscany ,knowsLanguage ,French_language_generic_instance ,Arles ,,,,,
Willa_of_Tuscany ,nationality ,France ,Arles ,,,,,
Murder_of_Polly_Klaas ,age ,43,Fairfax_u002C__California ,,,1981-01-03,,43
Murder_of_Polly_Klaas ,gender ,Female__u0028_gender_u0029_ ,Fairfax_u002C__California ,,,,,
Murder_of_Polly_Klaas ,nationality ,United_States ,Fairfax_u002C__California ,,,,,
Paku_Alam_II ,age ,238,Special_Region_of_Yogyakarta ,,,1785-06-25,,238
Paku_Alam_II ,gender ,Male_gender ,Special_Region_of_Yogyakarta ,,,,,
Paku_Alam_II ,knowsLanguage ,Indonesian_language_generic_instance ,Special_Region_of_Yogyakarta ,,,,,
Paku_Alam_II ,nationality ,Indonesia ,Special_Region_of_Yogyakarta ,,,,,
Pauline_Neville-Jones_u002C__Baroness_Neville-Jones ,alumniOf ,Lady_Margaret_Hall_u002C__Oxford ,Birmingham ,,,,,
Pauline_Neville-Jones_u002C__Baroness_Neville-Jones ,alumniOf ,Leeds_Girls_u0027__High_School ,Birmingham ,,,,,
Pauline_Neville-Jones_u002C__Baroness_Neville-Jones ,award ,100_Women__u0028_BBC_u0029_ ,Birmingham ,,,,,
Pauline_Neville-Jones_u002C__Baroness_Neville-Jones ,award ,Dame_Commander_Of_The_Order_Of_St_Michael_And_St_George_Q12177420_generic_instance ,Birmingham ,,,,,
Pauline_Neville-Jones_u002C__Baroness_Neville-Jones ,age ,84,Birmingham ,,,1939-11-02,,84
Pauline_Neville-Jones_u002C__Baroness_Neville-Jones ,gender ,Female__u0028_gender_u0029_ ,Birmingham ,,,,,
Pauline_Neville-Jones_u002C__Baroness_Neville-Jones ,knowsLanguage ,English_language_generic_instance ,Birmingham ,,,,,
Pauline_Neville-Jones_u002C__Baroness_Neville-Jones ,memberOf ,Conservative_Party__u0028_UK_u0029_ ,Birmingham ,,,,,
Pauline_Neville-Jones_u002C__Baroness_Neville-Jones ,worksFor ,Foreign_u002C__Commonwealth_and_Development_Office ,Birmingham ,,,,,
Quentin_Hubbard ,age ,70,United_States ,,,1954-01-06,,70
Quentin_Hubbard ,gender ,Male_gender ,United_States ,,,,,
Quentin_Hubbard ,nationality ,United_States ,United_States ,,,,,
Takahashi_Oden ,age ,175,Tone_District_u002C__Gunma ,,,1849-01-01,,175
Takahashi_Oden ,gender ,Female__u0028_gender_u0029_ ,Tone_District_u002C__Gunma ,,,,,
Takahashi_Oden ,knowsLanguage ,Japanese_language_generic_instance ,Tone_District_u002C__Gunma ,,,,,
Takahashi_Oden ,nationality ,Japan ,Tone_District_u002C__Gunma ,,,,,
Conrad_I_u002C__Count_of_Oldenburg ,age ,774,Oldenburg__u0028_city_u0029_ ,,,1250-01-01,,774
Henry_A_u002E__Byroade ,alumniOf ,United_States_Military_Academy ,Maumee_Township_u002C__Allen_County_u002C__Indiana ,,,,,
Henry_A_u002E__Byroade ,alumniOf ,Cornell_University_College_of_Engineering ,Maumee_Township_u002C__Allen_County_u002C__Indiana ,,,,,
Henry_A_u002E__Byroade ,age ,110,Maumee_Township_u002C__Allen_County_u002C__Indiana ,,,1913-07-24,,110
Henry_A_u002E__Byroade ,gender ,Male_gender ,Maumee_Township_u002C__Allen_County_u002C__Indiana ,,,,,
Henry_A_u002E__Byroade ,nationality ,United_States ,Maumee_Township_u002C__Allen_County_u002C__Indiana ,,,,,
John_Kennett_Starnes ,age ,106,Montreal ,,,1918-02-05,,106
John_Kennett_Starnes ,gender ,Male_gender ,Montreal ,,,,,
John_Kennett_Starnes ,nationality ,Canada ,Montreal ,,,,,
Joseph_Armone ,age ,106,New_York__u0028_state_u0029_ ,,,1917-09-13,,106
Joseph_Armone ,gender ,Male_gender ,New_York__u0028_state_u0029_ ,,,,,
Joseph_Armone ,nationality ,United_States ,New_York__u0028_state_u0029_ ,,,,,
Joseph_Maria_u002C__Prince_of_Fürstenberg ,age ,266,Donaueschingen ,,,1758-01-09,,266
Joseph_Maria_u002C__Prince_of_Fürstenberg ,gender ,Male_gender ,Donaueschingen ,,,,,
Joseph_Maria_u002C__Prince_of_Fürstenberg ,knowsLanguage ,German_language_generic_instance ,Donaueschingen ,,,,,
Joseph_Maria_u002C__Prince_of_Fürstenberg ,nationality ,Germany ,Donaueschingen ,,,,,
Oliver_John_Whitley ,alumniOf ,Clifton_College ,Halifax_u002C__West_Yorkshire ,,,,,
Oliver_John_Whitley ,age ,112,Halifax_u002C__West_Yorkshire ,,,1912-02-12,,112
Oliver_John_Whitley ,gender ,Male_gender ,Halifax_u002C__West_Yorkshire ,,,,,
Oliver_John_Whitley ,knowsLanguage ,English_language_generic_instance ,Halifax_u002C__West_Yorkshire ,,,,,
Alfred_Angas_Scott ,alumniOf ,Abbotsholme_School ,Bradford ,,,,,
Alfred_Angas_Scott ,age ,149,Bradford ,,,1874-10-05,,149
Alfred_Angas_Scott ,gender ,Male_gender ,Bradford ,,,,,
Amir_Qazaghan ,age ,724,Uzbekistan ,,,1300-01-01,,724
Amir_Qazaghan ,gender ,Male_gender ,Uzbekistan ,,,,,
Amir_Qazaghan ,nationality ,Chagatai_Khanate ,Uzbekistan ,,,,,
Emily_Austin_Perry ,age ,228,Austinville_u002C__Virginia ,,,1795-06-22,,228
Emily_Austin_Perry ,gender ,Female__u0028_gender_u0029_ ,Austinville_u002C__Virginia ,,,,,
Heinrich_Tillessen ,gender ,Male_gender ,Cologne ,,,,,
Heinrich_Tillessen ,knowsLanguage ,German_language_generic_instance ,Cologne ,,,,,
Heinrich_Tillessen ,memberOf ,Nazi_Party ,Cologne ,,,,,
Heinrich_Tillessen ,memberOf ,Deutschvölkischer_Schutz-_und_Trutzbund ,Cologne ,,,,,
Heinrich_Tillessen ,memberOf ,Sturmabteilung ,Cologne ,,,,,
Heinrich_Tillessen ,nationality ,Germany ,Cologne ,,,,,
Henry_Leach ,alumniOf ,St_Peter_u0027_s_Court ,Newton_Abbot ,,,,,
Henry_Leach ,alumniOf ,Wellesley_House_School ,Newton_Abbot ,,,,,
Henry_Leach ,award ,Knight_Grand_Cross_Of_The_Order_Of_The_Bath_Q12177451_generic_instance ,Newton_Abbot ,,,,,
Henry_Leach ,age ,100,Newton_Abbot ,,,1923-11-18,,100
Henry_Leach ,gender ,Male_gender ,Newton_Abbot ,,,,,
Henry_Leach ,knowsLanguage ,English_language_generic_instance ,Newton_Abbot ,,,,,
Ruhal_Ahmed ,age ,43,Birmingham ,,,1981-03-11,,43
Ruhal_Ahmed ,gender ,Male_gender ,Birmingham ,,,,,
Ruhal_Ahmed ,knowsLanguage ,English_language_generic_instance ,Birmingham ,,,,,
Berthold_of_Calabria ,age ,941,Limoges ,,,1083-01-01,,941
Berthold_of_Calabria ,gender ,Male_gender ,Limoges ,,,,,
Berthold_of_Calabria ,knowsLanguage ,French_language_generic_instance ,Limoges ,,,,,
Berthold_of_Calabria ,nationality ,France ,Limoges ,,,,,
Hasanuddin_of_Gowa ,age ,393,Makassar ,,,1631-01-12,,393
Hasanuddin_of_Gowa ,gender ,Male_gender ,Makassar ,,,,,
Hasanuddin_of_Gowa ,knowsLanguage ,Indonesian_language_generic_instance ,Makassar ,,,,,
Hasanuddin_of_Gowa ,nationality ,Indonesia ,Makassar ,,,,,
Nicholas_Browne ,alumniOf ,University_College_u002C__Oxford ,West_Malling ,,,,,
Nicholas_Browne ,alumniOf ,Cheltenham_College ,West_Malling ,,,,,
Nicholas_Browne ,award ,Companion_Of_The_Order_Of_St_Michael_And_St_George_Q12177413_generic_instance ,West_Malling ,,,,,
Nicholas_Browne ,award ,Knight_Commander_Of_The_Order_Of_The_British_Empire_Q12201445_generic_instance ,West_Malling ,,,,,
Nicholas_Browne ,age ,76,West_Malling ,,,1947-12-17,,76
Nicholas_Browne ,gender ,Male_gender ,West_Malling ,,,,,
Nicholas_Browne ,knowsLanguage ,English_language_generic_instance ,West_Malling ,,,,,
Nicholas_Browne ,worksFor ,Foreign_u002C__Commonwealth_and_Development_Office ,West_Malling ,,,,,
Hugh_Pollard__u0028_intelligence_officer_u0029_ ,gender ,Male_gender ,England ,,,,,
Hugh_Pollard__u0028_intelligence_officer_u0029_ ,knowsLanguage ,English_language_generic_instance ,England ,,,,,
Pakubuwono_III ,age ,292,Surakarta ,,,1732-02-24,,292
Pakubuwono_III ,gender ,Male_gender ,Surakarta ,,,,,
Pakubuwono_III ,knowsLanguage ,Indonesian_language_generic_instance ,Surakarta ,,,,,
Pakubuwono_III ,nationality ,Indonesia ,Surakarta ,,,,,
Pakubuwono_IV ,age ,255,Surakarta ,,,1768-08-31,,255
Pakubuwono_IV ,gender ,Male_gender ,Surakarta ,,,,,
Pakubuwono_IV ,knowsLanguage ,Indonesian_language_generic_instance ,Surakarta ,,,,,
Pakubuwono_IV ,nationality ,Indonesia ,Surakarta ,,,,,
Quock_Walker ,age ,271,Massachusetts ,,,1753-01-01,,271
Quock_Walker ,gender ,Male_gender ,Massachusetts ,,,,,
Quock_Walker ,nationality ,United_States ,Massachusetts ,,,,,
Ramiro_Artieda ,age ,134,Bolivia ,,,1889-09-04,,134
Ramiro_Artieda ,gender ,Male_gender ,Bolivia ,,,,,
Ramiro_Artieda ,knowsLanguage ,Spanish_language_generic_instance ,Bolivia ,,,,,
Ramiro_Artieda ,nationality ,Bolivia ,Bolivia ,,,,,
Sancha_of_Aragon__u0028_died_1097_u0029_ ,age ,979,Jaca ,,,1045-01-01,,979
Sancha_of_Aragon__u0028_died_1097_u0029_ ,gender ,Female__u0028_gender_u0029_ ,Jaca ,,,,,
Sancha_of_Aragon__u0028_died_1097_u0029_ ,knowsLanguage ,Catalan_language_generic_instance ,Jaca ,,,,,
Penelope_Blount_u002C__Countess_of_Devonshire ,age ,461,Staffordshire ,,,1563-01-01,,461
Penelope_Blount_u002C__Countess_of_Devonshire ,gender ,Female__u0028_gender_u0029_ ,Staffordshire ,,,,,
Ravano_dalle_Carceri ,age ,824,Verona ,,,1200-01-01,,824
Ravano_dalle_Carceri ,gender ,Male_gender ,Verona ,,,,,
Reinhard_Spitzy ,age ,112,Graz ,,,1912-02-11,,112
Reinhard_Spitzy ,gender ,Male_gender ,Graz ,,,,,
Reinhard_Spitzy ,memberOf ,Nazi_Party ,Graz ,,,,,
Reinhard_Spitzy ,memberOf ,Schutzstaffel ,Graz ,,,,,
Reinhard_Spitzy ,memberOf ,Sturmabteilung ,Graz ,,,,,
Reinhard_Spitzy ,nationality ,Austria ,Graz ,,,,,
Richard_R_u002E__Burt ,alumniOf ,Tufts_University ,Sewell_u002C__Chile ,,,,,
Richard_R_u002E__Burt ,alumniOf ,Cornell_University ,Sewell_u002C__Chile ,,,,,
Richard_R_u002E__Burt ,alumniOf ,The_Fletcher_School_at_Tufts_University ,Sewell_u002C__Chile ,,,,,
Richard_R_u002E__Burt ,age ,77,Sewell_u002C__Chile ,,,1947-02-03,,77
Richard_R_u002E__Burt ,gender ,Male_gender ,Sewell_u002C__Chile ,,,,,
Richard_R_u002E__Burt ,knowsLanguage ,English_language_generic_instance ,Sewell_u002C__Chile ,,,,,
Richard_R_u002E__Burt ,memberOf ,Republican_Party__u0028_United_States_u0029_ ,Sewell_u002C__Chile ,,,,,
Richard_R_u002E__Burt ,nationality ,United_States ,Sewell_u002C__Chile ,,,,,
Robert_Waley_Cohen ,alumniOf ,Clifton_College ,London ,,,,,
Robert_Waley_Cohen ,alumniOf ,Emmanuel_College_u002C__Cambridge ,London ,,,,,
Robert_Waley_Cohen ,award ,Knight_Commander_Of_The_Order_Of_The_British_Empire_Q12201445_generic_instance ,London ,,,,,
Robert_Waley_Cohen ,age ,146,London ,,,1877-09-08,,146
Robert_Waley_Cohen ,gender ,Male_gender ,London ,,,,,
Robert_Waley_Cohen ,knowsLanguage ,English_language_generic_instance ,London ,,,,,
Robert_Waley_Cohen ,worksFor ,Shell_plc ,London ,,,,,
Robert_Waley_Cohen ,worksFor ,United_Africa_Company ,London ,,,,,
Rudolf_von_Tiefenbach ,award ,Knight_Of_The_Order_Of_The_Golden_Fleece_Q15117228_generic_instance ,Graz ,,,,,
Rudolf_von_Tiefenbach ,age ,441,Graz ,,,1582-11-26,,441
Rudolf_von_Tiefenbach ,gender ,Male_gender ,Graz ,,,,,
Xu_Jingcheng ,age ,179,Jiaxing ,,,1845-01-01,,179
Xu_Jingcheng ,worksFor ,Peking_University ,Jiaxing ,,,,,
Zavida ,age ,911,Principality_of_Zeta ,,,1113-01-01,,911
Zavida ,gender ,Male_gender ,Principality_of_Zeta ,,,,,
Edward_Clinton_u002C__1st_Earl_of_Lincoln ,award ,Order_of_the_Garter_generic_instance ,Scrivelsby ,,,,,
Edward_Clinton_u002C__1st_Earl_of_Lincoln ,age ,512,Scrivelsby ,,,1512-01-01,,512
Edward_Clinton_u002C__1st_Earl_of_Lincoln ,gender ,Male_gender ,Scrivelsby ,,,,,
Egas_Moniz_o_Aio ,age ,944,County_of_Portugal ,,,1080-01-01,,944
Egas_Moniz_o_Aio ,gender ,Male_gender ,County_of_Portugal ,,,,,
Egas_Moniz_o_Aio ,knowsLanguage ,Portuguese_language_generic_instance ,County_of_Portugal ,,,,,
Francis_J_u002E__Harvey ,alumniOf ,University_of_Pennsylvania_School_of_Engineering_and_Applied_Science ,Latrobe_u002C__Pennsylvania ,,,,,
Francis_J_u002E__Harvey ,age ,80,Latrobe_u002C__Pennsylvania ,,,1943-07-08,,80
Francis_J_u002E__Harvey ,gender ,Male_gender ,Latrobe_u002C__Pennsylvania ,,,,,
Francis_J_u002E__Harvey ,memberOf ,Republican_Party__u0028_United_States_u0029_ ,Latrobe_u002C__Pennsylvania ,,,,,
Francis_J_u002E__Harvey ,nationality ,United_States ,Latrobe_u002C__Pennsylvania ,,,,,
Elisabetha_Grossmann ,age ,228,Brienz ,,,1795-12-14,,228
Elisabetha_Grossmann ,gender ,Female__u0028_gender_u0029_ ,Brienz ,,,,,
Elisabetha_Grossmann ,nationality ,Switzerland ,Brienz ,,,,,
Emperor_Xuanwu_of_Northern_Wei ,age ,1541,Datong ,,,0483-01-01,,1541
Emperor_Xuanwu_of_Northern_Wei ,gender ,Male_gender ,Datong ,,,,,
Empress_Wang__u0028_Southern_Ming_u0029_ ,gender ,Female__u0028_gender_u0029_ ,Suzhou ,,,,,
James_Watson_Webb_II ,alumniOf ,Yale_University ,Burlington_u002C__Vermont ,,,,,
James_Watson_Webb_II ,award ,Museum_of_Polo_and_Hall_of_Fame ,Burlington_u002C__Vermont ,,,,,
James_Watson_Webb_II ,age ,140,Burlington_u002C__Vermont ,,,1884-01-01,,140
James_Watson_Webb_II ,gender ,Male_gender ,Burlington_u002C__Vermont ,,,,,
Alice_Spencer_u002C__Countess_of_Derby ,age ,464,Althorp ,,,1559-05-14,,464
Alice_Spencer_u002C__Countess_of_Derby ,gender ,Female__u0028_gender_u0029_ ,Althorp ,,,,,
Sanatruq_II ,age ,1874,Hatra ,,,0150-01-01,,1874
Sanatruq_II ,gender ,Male_gender ,Hatra ,,,,,
Erna_Kelm ,gender ,Female__u0028_gender_u0029_ ,Frankfurt__u0028_Oder_u0029_ ,,,,,
Erna_Kelm ,knowsLanguage ,German_language_generic_instance ,Frankfurt__u0028_Oder_u0029_ ,,,,,
Erna_Kelm ,nationality ,Germany ,Frankfurt__u0028_Oder_u0029_ ,,,,,
Frank_Roberts__u0028_diplomat_u0029_ ,award ,Knight_Grand_Cross_Of_The_Royal_Victorian_Order_Q12192290_generic_instance ,Buenos_Aires ,,,,,
Frank_Roberts__u0028_diplomat_u0029_ ,award ,Companion_Of_The_Order_Of_St_Michael_And_St_George_Q12177413_generic_instance ,Buenos_Aires ,,,,,
Frank_Roberts__u0028_diplomat_u0029_ ,award ,Knight_Commander_Of_The_Order_Of_St_Michael_And_St_George_Q12177415_generic_instance ,Buenos_Aires ,,,,,
Frank_Roberts__u0028_diplomat_u0029_ ,age ,116,Buenos_Aires ,,,1907-10-27,,116
Frank_Roberts__u0028_diplomat_u0029_ ,gender ,Male_gender ,Buenos_Aires ,,,,,
Frank_Roberts__u0028_diplomat_u0029_ ,knowsLanguage ,English_language_generic_instance ,Buenos_Aires ,,,,,
Frank_Roberts__u0028_diplomat_u0029_ ,worksFor ,Foreign_u002C__Commonwealth_and_Development_Office ,Buenos_Aires ,,,,,
Frederick_Charles_Augustus_u002C__Count_of_Lippe ,award ,Order_of_the_Red_Eagle ,Biesterfeld ,,,,,
Frederick_Charles_Augustus_u002C__Count_of_Lippe ,age ,318,Biesterfeld ,,,1706-01-20,,318
Frederick_Charles_Augustus_u002C__Count_of_Lippe ,gender ,Male_gender ,Biesterfeld ,,,,,
Clare_Ford ,award ,Knight_Grand_Cross_Of_The_Order_Of_St_Michael_And_St_George_Q12177423_generic_instance ,London ,,,,,
Clare_Ford ,award ,Knight_Grand_Cross_Of_The_Order_Of_The_Bath_Q12177451_generic_instance ,London ,,,,,
Clare_Ford ,age ,195,London ,,,1828-06-04,,195
Clare_Ford ,gender ,Male_gender ,London ,,,,,
Clare_Ford ,knowsLanguage ,English_language_generic_instance ,London ,,,,,
Jimmy_Kinnon ,age ,113,Paisley_u002C__Renfrewshire ,,,1911-04-05,,113
Jimmy_Kinnon ,gender ,Male_gender ,Paisley_u002C__Renfrewshire ,,,,,
Jimmy_Kinnon ,nationality ,United_States ,Paisley_u002C__Renfrewshire ,,,,,
John_Le_Rougetel ,alumniOf ,Magdalene_College_u002C__Cambridge ,Liverpool ,,,,,
John_Le_Rougetel ,alumniOf ,Rossall_School ,Liverpool ,,,,,
John_Le_Rougetel ,award ,Military_Cross ,Liverpool ,,,,,
John_Le_Rougetel ,award ,Knight_Commander_Of_The_Order_Of_St_Michael_And_St_George_Q12177415_generic_instance ,Liverpool ,,,,,
John_Le_Rougetel ,age ,129,Liverpool ,,,1894-06-19,,129
John_Le_Rougetel ,gender ,Male_gender ,Liverpool ,,,,,
John_Le_Rougetel ,knowsLanguage ,English_language_generic_instance ,Liverpool ,,,,,
May_El-Khalil ,age ,68,Aley ,,,1955-12-20,,68
May_El-Khalil ,gender ,Female__u0028_gender_u0029_ ,Aley ,,,,,
Pyotr_Voykov ,alumniOf ,University_of_Geneva ,Kerch ,,,,,
Pyotr_Voykov ,age ,135,Kerch ,,,1888-08-13,,135
Pyotr_Voykov ,gender ,Male_gender ,Kerch ,,,,,
Pyotr_Voykov ,memberOf ,Communist_Party_of_the_Soviet_Union ,Kerch ,,,,,
Pyotr_Voykov ,memberOf ,Mensheviks ,Kerch ,,,,,
Rose_Selfridge ,age ,163,Chicago ,,,1860-07-05,,163
Rose_Selfridge ,gender ,Female__u0028_gender_u0029_ ,Chicago ,,,,,
Rose_Selfridge ,knowsLanguage ,English_language_generic_instance ,Chicago ,,,,,
Rose_Selfridge ,nationality ,United_States ,Chicago ,,,,,
Georg_Händel ,age ,401,Halle__u0028_Saale_u0029_ ,,,1622-09-24,,401
Georg_Händel ,gender ,Male_gender ,Halle__u0028_Saale_u0029_ ,,,,,
George_Appo ,nationality ,United_States ,New_Haven_u002C__Connecticut ,,,,,
Carrie_Astor_Wilson ,age ,162,New_York_City ,,,1861-10-10,,162
Carrie_Astor_Wilson ,gender ,Female__u0028_gender_u0029_ ,New_York_City ,,,,,
Carrie_Astor_Wilson ,nationality ,United_States ,New_York_City ,,,,,
David_M_u002E__Overton ,alumniOf ,Wayne_State_University ,Detroit ,,,,,
David_M_u002E__Overton ,alumniOf ,University_of_California_College_of_the_Law_u002C__San_Francisco ,Detroit ,,,,,
David_M_u002E__Overton ,age ,78,Detroit ,,,1946-01-01,,78
David_M_u002E__Overton ,gender ,Male_gender ,Detroit ,,,,,
Lady_Abahai ,age ,434,Jilin_City ,,,1590-01-01,,434
Lady_Abahai ,gender ,Female__u0028_gender_u0029_ ,Jilin_City ,,,,,
Lady_Gan ,age ,1874,Pei_County ,,,0150-01-01,,1874
Lady_Gan ,gender ,Female__u0028_gender_u0029_ ,Pei_County ,,,,,
Princess_Anle ,age ,1340,Shiyan ,,,0684-01-01,,1340
Princess_Anle ,gender ,Female__u0028_gender_u0029_ ,Shiyan ,,,,,
Charles_Wallace_Adair ,age ,110,Xenia_u002C__Ohio ,,,1914-01-26,,110
Charles_Wallace_Adair ,gender ,Male_gender ,Xenia_u002C__Ohio ,,,,,
Charles_Wallace_Adair ,nationality ,United_States ,Xenia_u002C__Ohio ,,,,,
Dugu_Qieluo ,age ,1480,Hà_Nam_province ,,,0544-01-01,,1480
Dugu_Qieluo ,gender ,Female__u0028_gender_u0029_ ,Hà_Nam_province ,,,,,
Christopher_Pittman ,age ,35,Huntsville_u002C__Alabama ,,,1989-04-09,,35
Christopher_Pittman ,gender ,Male_gender ,Huntsville_u002C__Alabama ,,,,,
Christopher_Pittman ,nationality ,United_States ,Huntsville_u002C__Alabama ,,,,,
Moses_Rose ,age ,239,La_Férée ,,,1785-01-01,,239
Moses_Rose ,gender ,Male_gender ,La_Férée ,,,,,
Moses_Rose ,knowsLanguage ,French_language_generic_instance ,La_Férée ,,,,,
Moses_Rose ,nationality ,France ,La_Férée ,,,,,
Hang_Jebat ,gender ,Male_gender ,Malacca ,,,,,
Catherine_Van_Rensselaer ,age ,289,Albany_u002C__New_York ,,,1734-11-10,,289
Catherine_Van_Rensselaer ,gender ,Female__u0028_gender_u0029_ ,Albany_u002C__New_York ,,,,,
Catherine_Van_Rensselaer ,nationality ,United_States ,Albany_u002C__New_York ,,,,,
George_Appo ,age ,167,New_Haven_u002C__Connecticut ,,,1856-07-04,,167
George_Appo ,gender ,Male_gender ,New_Haven_u002C__Connecticut ,,,,,
George_Appo ,knowsLanguage ,English_language_generic_instance ,New_Haven_u002C__Connecticut ,,,,,
George_Warrington ,alumniOf ,Ridgefield_Park_High_School ,Bayonne_u002C__New_Jersey ,,,,,
